fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,total_acidity,acidity_ratio,free_sulfur_ratio,sulfur_dioxide_diff,sugar_alcohol_ratio,sweetness_index,mineral_content,ph_acidity_interaction,wine_body,quality_class
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,8.1,10.42254,0.32343,23.0,0.20191,1.7214,0.636,28.431,9.37932,1
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,8.68,8.76404,0.37308,42.0,0.26504,2.3452,0.778,27.776,9.76864,1
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,8.6,10.12987,0.27773,39.0,0.23445,2.0746,0.742,28.036,9.7706,1
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,12.04,38.62069,0.28329,43.0,0.19368,1.7138,0.655,38.0464,9.7804,1
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,8.1,10.42254,0.32343,23.0,0.20191,1.7214,0.636,28.431,9.37932,1
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,8.06,11.04478,0.32492,27.0,0.19129,1.6308,0.635,28.2906,9.37932,1
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,8.56,12.95082,0.25419,44.0,0.17003,1.4496,0.529,28.248,9.36616,1
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7.95,11.06061,0.71395,6.0,0.11988,1.08,0.535,26.9505,9.946,2
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,8.4,13.22034,0.49972,9.0,0.2103,1.81,0.643,28.224,9.4696,2
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,8.36,14.70588,0.16665,85.0,0.5804,5.4595,0.871,28.006,10.4769,1
6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,7.36,11.35593,0.23073,50.0,0.19544,1.6344,0.637,24.1408,9.16228,1
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,8.36,14.70588,0.16665,85.0,0.5804,5.4595,0.871,28.006,10.4769,1
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,6.215,8.96,0.27114,43.0,0.16145,1.4416,0.609,22.2497,9.84357,1
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,8.7,12.58065,0.31024,20.0,0.17563,1.4544,1.674,28.362,9.07634,1
8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,9.7,14.12698,0.3586,93.0,0.4126,3.4504,1.056,30.652,9.18712,1
8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,9.71,14.12698,0.34457,97.0,0.42345,3.5412,1.1,30.7807,9.18712,1
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,9.34,29.31034,0.33977,68.0,0.17127,1.611,0.842,30.822,10.46745,2
8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,8.94,14.21053,0.28566,40.0,0.1826,1.5419,1.648,27.8034,9.27024,1
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,8.07,12.33333,0.20683,23.0,0.48835,4.004,0.586,27.2766,8.9766,0
7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,8.73,23.93939,0.30352,39.0,0.19544,1.6344,1.421,26.5392,9.17148,1
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,9.6,38.69565,0.48325,31.0,0.19129,1.6308,0.607,32.544,9.36992,1
7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,8.3,19.0,0.3239,48.0,0.23687,2.0769,0.732,29.216,9.68254,1
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,8.54,17.95455,0.2702,27.0,0.16824,1.448,1.016,27.0718,9.4677,1
